"","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma"
"1",0,NA,1,NA,1,1,1
"2",0,NA,0,NA,1,1,0
"3",1,NA,1,NA,1,1,1
"4",0,NA,0,NA,0,1,0
"5",0,NA,0,NA,0,1,0
"6",1,NA,1,NA,1,1,1
"7",0,NA,0,NA,0,1,0
"8",1,NA,1,NA,0,1,1
"9",0,NA,0,NA,1,1,0
"10",0,NA,0,NA,0,1,0
"11",1,NA,1,NA,1,1,1
"12",0,NA,0,NA,0,1,0
"13",1,NA,0,NA,1,1,1
"14",0,NA,0,NA,1,1,1
"15",0,NA,0,NA,1,1,1
"16",0,NA,0,NA,0,1,0
"17",1,NA,0,NA,0,1,1
"18",0,NA,0,NA,1,1,1
"19",0,NA,0,NA,0,1,0
"20",0,NA,1,NA,0,1,1
"21",0,NA,0,NA,1,1,1
"22",0,NA,0,NA,1,1,0
"23",0,NA,0,NA,0,1,0
"24",0,NA,0,NA,0,1,0
"25",0,NA,0,NA,0,1,0
"26",1,NA,1,NA,1,1,1
"27",0,NA,1,NA,1,1,1
"28",0,NA,0,NA,1,1,0
"29",1,NA,1,NA,1,1,1
"30",1,NA,1,NA,1,1,1
"31",1,NA,1,NA,1,1,1
"32",0,NA,0,NA,0,1,0
"33",0,NA,0,NA,1,1,1
"34",0,NA,0,NA,0,1,0
"35",0,NA,0,NA,1,1,0
"36",0,NA,0,NA,1,1,0
"37",0,NA,0,NA,1,1,1
"38",0,NA,0,NA,0,1,0
"39",0,NA,0,NA,1,1,1
"40",1,NA,1,NA,1,1,1
"41",0,NA,0,NA,1,1,0
"42",0,NA,0,NA,0,1,0
"43",0,NA,0,NA,1,1,1
"44",0,NA,0,NA,1,1,1
"45",0,NA,0,NA,1,1,0
"46",0,NA,0,NA,0,1,0
"47",0,NA,0,NA,0,1,1
"48",0,NA,0,NA,0,1,0
"49",0,NA,0,NA,1,1,0
"50",0,NA,0,NA,1,1,1
"51",0,NA,0,NA,0,1,0
"52",0,NA,0,NA,0,1,0
"53",0,NA,0,NA,0,1,1
"54",0,NA,1,NA,1,1,1
"55",0,NA,0,NA,0,1,1
"56",0,NA,0,NA,1,1,1
"57",0,NA,1,NA,0,1,1
"58",0,NA,0,NA,0,1,1
"59",0,NA,0,NA,1,1,1
"60",0,NA,0,NA,1,1,1
"61",1,NA,1,NA,1,1,1
"62",0,NA,0,NA,0,1,0
"63",0,NA,0,NA,0,1,0
"64",0,NA,0,NA,1,1,0
"65",1,NA,1,NA,1,1,1
"66",0,NA,0,NA,0,1,0
"67",0,NA,0,NA,0,1,1
"68",0,NA,0,NA,1,1,1
"69",0,NA,1,NA,1,1,0
"70",0,NA,0,NA,0,1,0
"71",0,NA,0,NA,0,1,0
"72",1,NA,1,NA,0,1,1
