"","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma"
"1",0,NA,0,NA,0,0,0
"2",1,NA,1,NA,1,1,0
"3",0,NA,0,NA,0,0,0
"4",1,NA,1,NA,1,1,0
"5",0,NA,1,NA,0,1,0
"6",0,NA,0,NA,0,1,0
"7",0,NA,1,NA,1,1,0
"8",1,NA,1,NA,0,1,0
"9",0,NA,0,NA,1,1,0
"10",1,NA,0,NA,0,1,0
"11",0,NA,1,NA,1,1,0
"12",1,NA,1,NA,1,1,0
"13",0,NA,0,NA,1,1,0
"14",1,NA,1,NA,1,1,0
"15",1,NA,0,NA,0,0,0
"16",1,NA,1,NA,1,1,0
"17",0,NA,0,NA,0,0,0
"18",1,NA,1,NA,0,1,1
"19",0,NA,0,NA,0,0,0
"20",1,NA,1,NA,0,1,0
"21",0,NA,0,NA,0,0,0
"22",1,NA,1,NA,0,1,0
"23",0,NA,0,NA,0,0,0
"24",1,NA,1,NA,0,1,1
"25",0,NA,0,NA,0,0,0
"26",0,NA,1,NA,0,1,0
"27",0,NA,1,NA,1,1,0
"28",1,NA,1,NA,0,1,1
"29",0,NA,1,NA,1,1,0
"30",1,NA,1,NA,0,1,1
"31",0,NA,0,NA,1,1,0
"32",1,NA,1,NA,1,1,0
"33",0,NA,0,NA,0,1,0
"34",1,NA,1,NA,1,1,0
"35",1,NA,0,NA,0,1,0
"36",1,NA,1,NA,1,1,0
"37",0,NA,0,NA,0,0,0
"38",1,NA,1,NA,0,1,0
"39",0,NA,0,NA,0,0,0
"40",1,NA,0,NA,0,1,0
"41",0,NA,0,NA,1,1,0
"42",1,NA,1,NA,0,1,1
"43",0,NA,0,NA,1,1,0
"44",1,NA,1,NA,1,1,0
"45",0,NA,0,NA,1,1,0
"46",1,NA,1,NA,0,1,0
"47",0,NA,0,NA,0,0,0
"48",1,NA,1,NA,0,1,1
"49",0,NA,0,NA,0,0,0
"50",1,NA,1,NA,1,1,0
"51",1,NA,0,NA,0,1,0
"52",1,NA,1,NA,0,1,0
"53",0,NA,1,NA,0,1,0
"54",1,NA,1,NA,1,1,1
"55",0,NA,0,NA,0,0,0
"56",1,NA,1,NA,0,1,1
"57",1,NA,0,NA,0,1,0
"58",1,NA,1,NA,0,1,1
"59",0,NA,0,NA,0,0,0
"60",1,NA,1,NA,1,1,1
"61",0,NA,0,NA,0,1,0
"62",1,NA,1,NA,1,1,0
"63",0,NA,1,NA,1,1,0
"64",1,NA,1,NA,0,1,0
"65",1,NA,0,NA,0,1,0
"66",1,NA,0,NA,0,1,0
"67",1,NA,0,NA,0,0,0
"68",1,NA,1,NA,0,1,0
"69",0,NA,0,NA,1,1,0
"70",1,NA,1,NA,0,1,0
"71",0,NA,1,NA,1,1,0
"72",1,NA,1,NA,0,1,1
"73",0,NA,1,NA,1,1,0
"74",1,NA,0,NA,1,1,0
"75",0,NA,1,NA,1,1,0
"76",1,NA,1,NA,0,1,0
"77",0,NA,0,NA,0,1,0
"78",1,NA,1,NA,0,1,0
"79",0,NA,1,NA,0,1,0
"80",1,NA,1,NA,0,1,0
"81",0,NA,1,NA,0,1,0
"82",1,NA,1,NA,0,1,0
