"","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma"
"1",0,0,0,NA,0,1,0
"2",0,0,0,NA,0,0,0
"3",1,1,1,NA,0,1,0
"4",0,0,0,NA,0,0,0
"5",1,1,1,NA,1,1,1
"6",0,0,0,NA,0,0,0
"7",1,1,0,NA,0,1,0
"8",0,1,1,NA,0,1,1
"9",1,1,1,NA,1,1,1
"10",1,1,0,NA,0,1,1
"11",0,0,0,NA,0,0,0
"12",0,1,1,NA,0,1,0
"13",0,1,0,NA,1,1,0
"14",1,1,1,NA,1,1,1
"15",0,0,1,NA,0,1,0
"16",0,1,1,NA,0,1,1
"17",1,0,0,NA,0,1,0
"18",0,0,0,NA,0,1,0
"19",1,1,0,NA,0,1,0
"20",0,0,0,NA,0,1,0
"21",1,0,0,NA,0,1,0
"22",0,0,0,NA,0,1,0
"23",0,1,1,NA,0,1,0
"24",1,1,0,NA,0,1,0
"25",0,0,1,NA,0,1,0
"26",0,0,0,NA,0,1,0
"27",0,0,0,NA,0,1,0
"28",0,0,0,NA,0,1,0
"29",1,1,0,NA,0,1,0
"30",0,0,0,NA,0,0,0
"31",0,1,0,NA,0,1,0
"32",0,0,0,NA,0,1,0
"33",0,0,1,NA,0,0,0
"34",1,0,0,NA,0,0,0
"35",0,0,0,NA,0,1,0
"36",0,0,0,NA,0,1,0
"37",0,1,0,NA,0,1,0
"38",0,0,0,NA,0,1,0
"39",0,0,0,NA,0,1,0
"40",0,1,0,NA,1,1,0
"41",1,1,1,NA,0,1,0
"42",0,0,0,NA,0,0,0
"43",1,0,0,NA,0,0,0
"44",1,1,1,NA,0,1,0
"45",0,0,0,NA,0,0,0
"46",0,1,1,NA,1,1,1
"47",1,0,0,NA,0,0,0
"48",1,0,0,NA,0,0,0
"49",0,0,0,NA,0,1,0
"50",0,1,1,NA,0,1,1
"51",1,0,0,NA,0,0,0
"52",1,0,0,NA,0,0,0
"53",1,0,0,NA,0,0,0
"54",0,1,1,NA,0,1,0
"55",0,1,1,NA,1,1,0
"56",1,0,0,NA,0,0,0
"57",0,0,1,NA,0,1,0
"58",1,1,0,NA,0,1,0
"59",1,1,0,NA,1,1,1
"60",0,0,0,NA,0,1,0
"61",0,1,1,NA,0,1,1
"62",0,0,0,NA,0,1,0
"63",1,0,1,NA,0,1,0
"64",0,0,0,NA,0,1,0
"65",0,0,0,NA,0,1,0
"66",0,0,0,NA,0,0,0
"67",0,1,0,NA,0,1,0
"68",1,1,0,NA,0,1,0
"69",0,0,0,NA,0,0,0
"70",1,0,0,NA,0,0,0
"71",0,0,0,NA,0,1,0
"72",0,0,0,NA,0,1,0
"73",1,1,0,NA,0,1,0
"74",0,0,1,NA,0,1,0
"75",1,0,0,NA,0,0,0
"76",1,1,1,NA,0,1,1
"77",1,0,1,NA,0,0,0
"78",0,0,0,NA,0,0,0
"79",0,1,1,NA,0,1,1
"80",0,0,0,NA,0,0,0
"81",1,0,0,NA,0,1,0
"82",1,1,1,NA,0,1,1
"83",0,0,0,NA,0,0,0
"84",0,0,0,NA,0,0,0
"85",1,1,0,NA,0,1,0
"86",0,0,0,NA,0,1,0
"87",1,1,0,NA,0,1,0
"88",0,0,0,NA,0,0,0
"89",1,1,0,NA,1,1,1
"90",0,0,0,NA,0,0,0
"91",0,0,0,NA,0,0,0
"92",0,0,1,NA,0,1,0
"93",0,1,1,NA,0,1,0
"94",0,1,0,NA,0,1,0
"95",1,0,0,NA,0,0,0
"96",0,0,0,NA,0,1,0
"97",0,0,0,NA,0,0,0
"98",1,0,1,NA,0,1,0
"99",1,0,0,NA,0,0,0
"100",0,1,0,NA,0,1,0
"101",0,1,0,NA,1,1,0
"102",1,0,0,NA,0,0,0
"103",1,1,0,NA,0,1,0
"104",0,0,1,NA,0,0,0
"105",0,1,0,NA,0,1,0
"106",0,0,1,NA,0,1,0
"107",1,1,1,NA,1,1,0
"108",0,0,1,NA,0,1,0
"109",1,0,0,NA,0,0,0
"110",0,0,0,NA,0,1,0
"111",0,0,1,NA,0,1,0
"112",0,1,0,NA,0,1,1
"113",1,0,0,NA,0,0,0
"114",0,0,0,NA,0,0,0
"115",0,0,1,NA,0,1,0
"116",0,1,0,NA,0,1,0
"117",0,0,0,NA,0,1,0
"118",0,0,0,NA,0,1,0
"119",0,0,0,NA,0,0,0
"120",0,0,1,NA,0,0,0
"121",1,1,1,NA,1,1,0
"122",1,0,0,NA,0,0,0
"123",0,0,0,NA,0,0,0
"124",0,1,0,NA,0,1,1
"125",1,0,0,NA,0,1,0
"126",1,1,1,NA,1,1,0
"127",0,0,0,NA,0,1,0
"128",0,0,0,NA,0,0,0
"129",1,0,0,NA,0,1,0
"130",1,1,0,NA,0,1,0
"131",0,0,1,NA,0,1,0
"132",1,1,0,NA,0,1,0
"133",0,0,0,NA,0,1,0
"134",0,0,0,NA,0,0,0
"135",0,0,1,NA,0,0,0
"136",0,0,0,NA,0,1,0
"137",1,0,1,NA,0,0,0
"138",0,0,0,NA,0,0,0
"139",0,0,0,NA,0,0,0
"140",1,1,1,NA,0,1,0
"141",0,0,0,NA,0,1,0
"142",0,0,0,NA,0,0,0
"143",1,0,0,NA,0,0,0
"144",0,0,0,NA,0,1,0
"145",0,0,1,NA,0,1,0
"146",1,1,0,NA,0,1,1
"147",1,1,1,NA,0,1,0
"148",0,1,0,NA,1,1,0
"149",0,1,0,NA,0,1,0
"150",0,0,0,NA,0,0,0
"151",0,0,0,NA,0,1,0
"152",0,0,0,NA,0,0,0
"153",0,0,1,NA,0,1,0
"154",0,1,0,NA,1,1,1
"155",1,1,1,NA,0,1,0
"156",0,1,1,NA,0,1,0
"157",0,0,0,NA,0,0,0
"158",1,0,0,NA,0,1,0
"159",0,0,1,NA,0,0,0
"160",1,1,1,NA,1,1,1
"161",0,0,0,NA,0,0,0
"162",1,0,0,NA,0,0,0
"163",0,1,1,NA,0,1,0
"164",0,0,0,NA,0,0,0
"165",0,1,0,NA,0,1,0
"166",1,0,1,NA,0,1,0
"167",1,0,0,NA,0,0,0
"168",0,0,0,NA,0,0,0
"169",0,0,0,NA,0,0,0
"170",1,0,0,NA,0,0,0
"171",0,0,0,NA,0,1,0
"172",0,0,0,NA,0,1,0
"173",1,1,1,NA,0,1,1
"174",1,0,1,NA,0,0,0
"175",0,0,1,NA,0,0,0
"176",1,0,1,NA,0,1,0
"177",0,0,0,NA,0,0,0
"178",1,1,1,NA,1,1,1
"179",1,1,0,NA,0,0,0
"180",0,0,0,NA,0,1,0
"181",0,0,0,NA,0,0,0
"182",0,0,0,NA,0,0,0
"183",1,1,1,NA,0,1,1
"184",0,0,0,NA,0,0,0
"185",0,0,0,NA,0,0,0
"186",0,1,1,NA,0,1,0
"187",0,1,0,NA,0,1,1
"188",1,1,1,NA,1,1,0
"189",0,0,0,NA,0,1,0
"190",0,0,1,NA,0,1,0
"191",0,0,0,NA,0,0,0
"192",0,0,0,NA,0,1,0
"193",0,0,0,NA,0,1,0
"194",1,1,1,NA,0,1,1
"195",1,0,0,NA,0,0,0
"196",0,0,0,NA,0,1,0
"197",0,0,0,NA,0,0,0
"198",0,0,0,NA,0,1,0
"199",0,0,0,NA,0,1,0
"200",0,0,1,NA,0,1,0
"201",1,0,0,NA,0,1,0
"202",0,0,0,NA,0,0,0
"203",0,0,0,NA,0,0,0
"204",0,0,0,NA,0,0,0
"205",0,1,1,NA,0,1,0
"206",0,0,0,NA,0,0,0
"207",0,1,1,NA,0,1,0
"208",1,1,1,NA,0,1,0
"209",0,0,0,NA,0,0,0
"210",0,1,1,NA,0,1,0
"211",1,0,0,NA,0,0,0
"212",0,1,1,NA,0,0,0
"213",0,1,1,NA,0,1,0
"214",0,0,0,NA,0,1,0
"215",0,0,1,NA,0,1,0
"216",0,1,0,NA,0,1,0
"217",0,0,0,NA,0,1,0
"218",0,0,0,NA,0,0,0
"219",0,1,0,NA,0,1,0
"220",1,0,0,NA,0,1,0
