"","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma"
"1",0,0,1,NA,0,1,0
"2",0,0,1,NA,1,1,0
"3",0,1,1,NA,1,1,1
"4",0,0,1,NA,0,1,0
"5",0,0,1,NA,0,1,0
"6",0,0,0,NA,0,1,1
"7",1,0,0,NA,0,1,1
"8",0,0,0,NA,1,1,1
"9",1,1,1,NA,1,1,1
"10",0,0,1,NA,0,1,0
"11",1,1,0,NA,1,1,1
"12",0,0,0,NA,0,1,0
"13",0,0,1,NA,0,1,0
"14",0,0,0,NA,0,1,1
"15",1,1,1,NA,1,1,1
"16",0,0,1,NA,1,1,0
"17",0,0,0,NA,0,1,0
"18",1,0,1,NA,1,1,0
"19",0,0,0,NA,0,1,0
"20",1,1,1,NA,0,1,1
"21",0,0,0,NA,1,1,0
"22",1,0,1,NA,0,1,1
"23",0,0,0,NA,1,1,1
"24",0,0,0,NA,0,1,0
"25",0,0,0,NA,0,1,0
"26",1,0,1,NA,1,1,1
"27",0,0,0,NA,0,1,0
"28",1,1,0,NA,1,1,1
"29",1,0,0,NA,0,1,1
"30",0,1,0,NA,1,1,1
"31",0,0,0,NA,1,1,1
"32",1,1,0,NA,1,1,1
"33",0,0,0,NA,0,1,0
"34",1,1,0,NA,1,1,1
"35",0,1,1,NA,1,1,1
"36",1,0,0,NA,1,1,1
"37",1,1,0,NA,1,1,1
"38",0,0,1,NA,0,1,0
"39",0,0,1,NA,0,1,0
"40",0,0,1,NA,0,1,0
"41",0,1,1,NA,1,1,1
"42",1,0,0,NA,1,1,1
"43",1,0,0,NA,1,1,1
"44",0,0,0,NA,0,1,0
"45",0,0,1,NA,1,1,1
"46",0,0,1,NA,1,1,1
"47",0,0,1,NA,0,1,0
"48",1,1,0,NA,1,1,1
"49",0,1,1,NA,1,1,1
"50",0,0,1,NA,0,1,0
"51",1,0,0,NA,1,1,0
"52",0,1,0,NA,1,1,1
"53",0,0,1,NA,1,1,0
"54",0,1,0,NA,1,1,1
"55",0,1,0,NA,1,1,1
"56",0,0,0,NA,1,1,0
"57",0,0,0,NA,1,1,0
"58",1,0,0,NA,1,1,1
"59",1,0,1,NA,1,1,0
"60",0,0,1,NA,0,1,0
"61",1,0,1,NA,1,1,0
"62",1,0,0,NA,1,1,1
"63",0,0,0,NA,1,1,0
"64",0,0,0,NA,0,1,0
"65",0,0,0,NA,0,1,0
"66",0,0,0,NA,1,1,0
"67",0,0,1,NA,1,1,1
"68",0,0,0,NA,0,1,1
"69",0,1,1,NA,1,1,0
"70",0,1,0,NA,1,1,1
"71",0,1,1,NA,1,1,1
"72",0,0,1,NA,1,1,0
"73",0,0,1,NA,1,1,0
"74",0,0,0,NA,0,1,0
"75",0,0,1,NA,0,1,0
"76",1,1,1,NA,1,1,1
"77",1,0,0,NA,1,1,0
"78",0,0,1,NA,1,1,0
"79",0,0,0,NA,1,1,0
"80",1,1,0,NA,1,1,1
"81",0,0,0,NA,0,1,0
"82",0,0,1,NA,1,1,0
"83",0,1,0,NA,1,1,1
"84",0,1,0,NA,0,1,1
"85",0,0,0,NA,0,1,0
"86",0,1,1,NA,1,1,1
"87",0,0,0,NA,0,1,0
"88",0,0,0,NA,0,1,1
"89",0,0,1,NA,1,1,0
"90",1,1,0,NA,1,1,1
"91",0,1,1,NA,1,1,1
"92",0,1,1,NA,1,1,1
"93",0,1,1,NA,1,1,1
"94",0,1,1,NA,1,1,1
"95",0,1,0,NA,1,1,1
"96",1,0,0,NA,1,1,0
"97",0,0,1,NA,0,1,0
"98",0,0,1,NA,0,1,0
"99",1,0,1,NA,1,1,1
"100",0,0,0,NA,1,1,1
"101",1,1,0,NA,1,1,1
"102",0,0,1,NA,0,1,0
"103",0,1,0,NA,0,1,1
"104",0,0,1,NA,0,1,0
"105",0,1,0,NA,0,1,1
"106",0,0,1,NA,0,1,0
"107",0,1,0,NA,0,1,1
"108",0,0,0,NA,1,1,1
"109",0,1,0,NA,0,1,1
"110",0,1,0,NA,0,1,1
"111",1,1,0,NA,1,1,1
"112",0,0,0,NA,0,1,0
"113",0,0,1,NA,0,1,0
"114",0,0,0,NA,0,1,0
"115",0,1,1,NA,1,1,1
"116",0,0,0,NA,0,1,0
"117",0,0,0,NA,0,1,0
"118",0,0,0,NA,0,1,0
"119",0,1,1,NA,1,1,1
"120",0,1,1,NA,0,1,1
"121",0,0,0,NA,0,1,0
"122",0,0,0,NA,0,1,0
"123",0,1,1,NA,0,1,1
"124",0,0,1,NA,1,1,0
"125",0,0,1,NA,0,1,0
"126",0,0,0,NA,1,1,1
"127",0,0,0,NA,1,1,0
"128",1,0,0,NA,0,1,0
"129",0,0,0,NA,0,1,1
"130",1,0,1,NA,1,1,1
"131",0,0,1,NA,1,1,0
"132",0,0,0,NA,0,1,0
"133",0,0,0,NA,0,1,0
"134",0,0,0,NA,0,1,0
"135",1,1,0,NA,0,1,1
"136",0,0,1,NA,0,1,0
"137",0,0,1,NA,0,1,0
"138",0,1,1,NA,0,1,1
"139",1,0,0,NA,1,1,1
"140",0,0,0,NA,0,1,0
"141",0,1,1,NA,0,1,1
"142",0,1,0,NA,0,1,1
"143",0,1,1,NA,0,1,1
"144",0,1,0,NA,0,1,1
"145",1,1,0,NA,1,1,1
"146",1,1,0,NA,0,1,1
"147",0,1,1,NA,0,1,1
"148",0,0,1,NA,1,1,0
"149",0,1,0,NA,0,1,1
"150",1,1,0,NA,1,1,1
"151",0,0,0,NA,1,1,1
"152",0,1,1,NA,1,1,1
"153",1,0,0,NA,0,1,1
"154",0,0,0,NA,1,1,0
"155",0,0,1,NA,0,1,0
"156",1,1,0,NA,1,1,1
"157",1,1,1,NA,1,1,1
"158",0,0,0,NA,0,1,0
"159",1,0,1,NA,1,1,1
"160",0,1,0,NA,1,1,1
"161",0,1,0,NA,1,1,1
"162",0,1,0,NA,0,1,1
"163",1,0,1,NA,0,1,0
"164",0,0,0,NA,0,1,0
"165",0,1,0,NA,0,1,1
"166",1,0,0,NA,1,1,0
"167",1,0,0,NA,1,1,0
"168",0,0,1,NA,1,1,0
"169",0,0,1,NA,1,1,0
"170",1,0,0,NA,1,1,0
"171",0,0,0,NA,0,1,1
"172",0,0,1,NA,0,1,0
"173",0,0,0,NA,1,1,0
"174",0,0,0,NA,0,1,0
"175",0,1,0,NA,1,1,1
"176",0,1,0,NA,1,1,1
"177",1,1,0,NA,1,1,1
"178",0,0,0,NA,1,1,0
"179",0,0,1,NA,1,1,0
"180",0,1,0,NA,1,1,1
"181",0,0,1,NA,1,1,0
"182",0,0,1,NA,0,1,0
"183",0,0,1,NA,1,1,1
"184",0,0,0,NA,1,1,0
"185",0,0,0,NA,0,1,0
"186",1,0,0,NA,1,1,0
"187",0,0,1,NA,1,1,0
"188",0,1,0,NA,1,1,1
"189",0,1,1,NA,1,1,1
"190",0,0,0,NA,0,1,0
"191",1,0,0,NA,1,1,0
"192",0,1,0,NA,1,1,1
"193",0,0,0,NA,1,1,0
"194",0,0,1,NA,0,1,0
"195",0,0,1,NA,0,1,0
"196",0,0,0,NA,0,1,0
"197",0,0,1,NA,1,1,1
"198",0,0,1,NA,0,1,0
"199",0,0,1,NA,1,1,1
"200",0,0,0,NA,1,1,1
"201",1,1,1,NA,1,1,1
"202",0,0,1,NA,1,1,0
"203",0,0,1,NA,1,1,0
"204",0,0,0,NA,1,1,1
"205",0,1,1,NA,1,1,1
"206",0,0,0,NA,0,1,0
"207",0,0,0,NA,1,1,0
"208",0,1,0,NA,1,1,1
"209",0,0,0,NA,0,1,1
"210",1,1,1,NA,1,1,1
"211",0,0,1,NA,0,1,0
"212",0,0,0,NA,0,1,0
"213",1,1,1,NA,1,1,1
"214",0,0,1,NA,1,1,1
"215",0,0,0,NA,0,1,1
"216",0,0,0,NA,0,1,1
"217",0,0,1,NA,0,1,0
"218",0,0,1,NA,0,1,0
"219",1,0,1,NA,1,1,0
"220",0,0,1,NA,0,1,0
"221",0,1,0,NA,0,1,1
"222",0,0,0,NA,0,1,1
"223",1,0,1,NA,1,1,0
"224",0,0,1,NA,0,1,0
"225",0,0,0,NA,0,1,0
"226",0,0,0,NA,0,1,0
"227",0,0,1,NA,0,1,0
"228",0,1,1,NA,1,1,1
"229",0,0,0,NA,0,1,0
"230",0,1,1,NA,1,1,1
