"","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma","activeLearning","oracle","labeled"
"1","no","no","no","no","no","no","no","no","no","no"
"2","no","no","no","no","no","no","no","no","no","no"
"3","no","no","no","no","no","no","no","no","yes","no"
"4","no","no","no","no","no","no","no","no","no","no"
"5","no","no","no","no","no","no","no","no","no","no"
"6","yes","no","no","no","no","yes","no","no","no","no"
"7","no","no","no","no","no","no","no","no","yes","no"
"8","no","no","no","no","no","no","no","no","no","no"
"9","yes","no","no","no","no","no","no","no","yes","no"
"10","no","no","no","no","no","no","no","no","no","no"
"11","no","no","no","no","no","no","no","no","yes","no"
"12","no","no","no","no","no","no","no","no","yes","no"
"13","no","no","no","no","no","no","no","no","yes","no"
"14","yes","no","no","no","no","no","no","no","yes","no"
"15","yes","yes","no","no","no","yes","no","no","no","yes"
"16","yes","yes","yes","yes","yes","yes","yes","no","yes","no"
"17","yes","yes","no","no","no","yes","no","no","yes","yes"
"18","no","no","no","no","no","no","no","no","no","no"
"19","yes","yes","no","no","no","yes","no","no","yes","yes"
"20","yes","no","no","no","no","yes","no","no","yes","no"
"21","yes","no","no","no","no","no","no","no","no","no"
"22","yes","no","no","no","no","no","no","no","yes","no"
"23","yes","no","no","no","no","no","no","no","no","no"
"24","yes","no","no","no","no","no","no","no","no","no"
"25","yes","yes","no","no","no","no","no","no","yes","no"
"26","no","no","no","no","no","no","no","no","yes","no"
"27","yes","no","no","no","no","no","no","no","no","no"
"28","no","no","no","no","no","no","no","no","yes","no"
"29","no","no","no","no","no","no","no","no","yes","no"
"30","no","no","no","no","no","no","no","no","no","no"
"31","no","no","no","no","no","no","no","no","no","no"
"32","yes","yes","no","no","no","no","no","no","yes","no"
"33","yes","yes","no","no","yes","yes","no","no","no","yes"
"34","yes","yes","no","no","yes","yes","no","no","no","yes"
"35","no","no","no","no","no","no","no","no","no","no"
"36","yes","no","no","no","no","no","no","no","yes","no"
"37","yes","yes","no","no","no","no","no","no","yes","no"
"38","no","no","no","no","no","no","no","no","yes","no"
"39","no","no","no","no","no","no","no","no","yes","no"
"40","no","no","no","no","no","no","no","no","no","no"
"41","no","no","no","no","no","no","no","no","no","no"
"42","yes","yes","yes","no","no","no","no","no","no","yes"
"43","no","no","no","no","no","no","no","no","no","no"
"44","yes","no","no","no","no","no","no","no","no","no"
"45","yes","yes","no","no","no","yes","no","no","no","yes"
"46","no","no","no","no","no","no","no","no","no","no"
"47","yes","yes","no","no","no","yes","no","no","no","yes"
"48","no","no","no","no","no","no","no","no","no","no"
"49","no","no","no","no","no","no","no","no","no","no"
"50","no","no","no","no","no","no","no","no","yes","no"
"51","no","yes","yes","no","no","no","no","no","yes","no"
"52","no","no","no","no","no","no","no","no","no","no"
"53","no","no","yes","no","no","no","no","no","yes","no"
"54","no","no","yes","no","no","no","no","no","yes","no"
"55","no","no","no","no","no","no","no","no","yes","no"
"56","no","no","no","no","no","no","no","no","yes","no"
"57","no","no","yes","no","no","no","no","no","no","no"
"58","yes","yes","yes","no","no","no","no","no","no","yes"
"59","no","no","yes","no","no","no","no","no","yes","no"
"60","yes","no","yes","no","no","no","no","yes","yes","no"
"61","yes","yes","yes","no","yes","yes","no","no","no","no"
"62","no","no","no","no","no","no","no","no","no","no"
"63","yes","yes","yes","no","no","yes","no","no","no","yes"
"64","no","no","no","no","no","no","no","no","yes","no"
"65","yes","no","yes","no","no","no","no","no","yes","no"
"66","no","no","yes","no","no","no","no","no","no","no"
"67","no","no","no","no","no","no","no","no","yes","no"
"68","no","no","no","no","no","no","no","no","no","no"
"69","yes","yes","no","no","no","yes","no","no","no","yes"
"70","no","no","yes","no","no","no","no","no","yes","no"
"71","no","no","no","no","no","no","no","yes","no","no"
"72","no","no","no","no","no","no","no","no","no","no"
"73","no","no","no","no","no","no","no","no","no","no"
"74","no","yes","no","no","no","no","no","no","no","no"
"75","no","no","no","no","no","no","no","no","no","no"
"76","no","no","yes","no","no","no","no","no","no","no"
"77","no","yes","yes","no","no","no","no","no","no","no"
"78","no","no","yes","no","no","no","no","no","no","no"
"79","no","no","no","no","no","no","no","no","yes","no"
"80","yes","no","yes","no","no","no","no","no","no","no"
"81","no","no","yes","no","no","no","no","no","yes","no"
"82","no","no","yes","no","no","no","no","no","no","no"
"83","no","no","no","no","no","no","no","no","yes","no"
"84","no","no","yes","no","no","no","no","no","yes","no"
"85","yes","yes","no","no","no","no","no","no","no","no"
"86","yes","no","no","no","no","no","no","no","no","no"
"87","no","no","yes","no","no","no","no","no","yes","no"
"88","yes","yes","no","no","no","no","no","no","no","no"
"89","no","no","no","no","no","no","no","no","no","no"
"90","no","no","no","no","no","no","no","no","yes","no"
"91","no","yes","no","no","no","no","no","no","no","no"
"92","no","no","no","no","no","no","no","no","no","no"
"93","no","no","no","no","no","no","no","no","yes","no"
"94","yes","yes","yes","no","no","no","no","no","yes","yes"
