"","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma","activeLearning"
"1","no","no","no","no","no","no","no","no"
"2","no","no","no","no","no","no","no","no"
"3","no","no","no","no","no","no","no","no"
"4","no","no","no","no","no","no","no","no"
"5","no","no","no","no","no","no","no","no"
"6","yes","no","no","no","no","yes","no","yes"
"7","no","no","no","no","no","no","no","no"
"8","no","no","no","no","no","no","no","no"
"9","yes","no","no","no","no","no","no","no"
"10","no","no","no","no","no","no","no","no"
"11","no","no","no","no","no","no","no","no"
"12","no","no","no","no","no","no","no","no"
"13","no","no","no","no","no","no","no","no"
"14","yes","no","no","no","no","no","no","no"
"15","yes","yes","no","no","no","yes","no","yes"
"16","yes","yes","yes","yes","yes","yes","yes","no"
"17","yes","yes","no","no","no","yes","no","no"
"18","no","no","no","no","no","no","no","no"
"19","yes","yes","no","no","no","yes","no","no"
"20","yes","no","no","no","no","yes","no","no"
"21","yes","no","no","no","no","no","no","no"
"22","yes","no","no","no","no","no","no","no"
"23","yes","no","no","no","no","no","no","no"
"24","yes","no","no","no","no","no","no","no"
"25","yes","yes","no","no","no","no","no","no"
"26","no","no","no","no","no","no","no","no"
"27","yes","no","no","no","no","no","no","no"
"28","no","no","no","no","no","no","no","no"
"29","no","no","no","no","no","no","no","no"
"30","no","no","no","no","no","no","no","no"
"31","no","no","no","no","no","no","no","no"
"32","yes","yes","no","no","no","no","no","yes"
"33","yes","yes","no","no","yes","yes","no","no"
"34","yes","yes","no","no","yes","yes","no","yes"
"35","no","no","no","no","no","no","no","no"
"36","yes","no","no","no","no","no","no","no"
"37","yes","yes","no","no","no","no","no","no"
"38","no","no","no","no","no","no","no","no"
"39","no","no","no","no","no","no","no","no"
"40","no","no","no","no","no","no","no","no"
"41","no","no","no","no","no","no","no","no"
"42","yes","yes","yes","no","no","no","no","no"
"43","no","no","no","no","no","no","no","no"
"44","yes","no","no","no","no","no","no","no"
"45","yes","yes","no","no","no","yes","no","no"
"46","no","no","no","no","no","no","no","no"
"47","yes","yes","no","no","no","yes","no","no"
"48","no","no","no","no","no","no","no","no"
"49","no","no","no","no","no","no","no","no"
"50","no","no","no","no","no","no","no","no"
"51","no","yes","yes","no","no","no","no","no"
"52","no","no","no","no","no","no","no","no"
"53","no","no","yes","no","no","no","no","yes"
"54","no","no","yes","no","no","no","no","no"
"55","no","no","no","no","no","no","no","yes"
"56","no","no","no","no","no","no","no","no"
"57","no","no","yes","no","no","no","no","no"
"58","yes","yes","yes","no","no","no","no","no"
"59","no","no","yes","no","no","no","no","no"
"60","yes","no","yes","no","no","no","no","no"
"61","yes","yes","yes","no","yes","yes","no","no"
"62","no","no","no","no","no","no","no","no"
"63","yes","yes","yes","no","no","yes","no","yes"
"64","no","no","no","no","no","no","no","no"
"65","yes","no","yes","no","no","no","no","no"
"66","no","no","yes","no","no","no","no","yes"
"67","no","no","no","no","no","no","no","no"
"68","no","no","no","no","no","no","no","no"
"69","yes","yes","no","no","no","yes","no","yes"
"70","no","no","yes","no","no","no","no","no"
"71","no","no","no","no","no","no","no","no"
"72","no","no","no","no","no","no","no","yes"
"73","no","no","no","no","no","no","no","no"
"74","no","yes","no","no","no","no","no","no"
"75","no","no","no","no","no","no","no","no"
"76","no","no","yes","no","no","no","no","yes"
"77","no","yes","yes","no","no","no","no","yes"
"78","no","no","yes","no","no","no","no","yes"
"79","no","no","no","no","no","no","no","no"
"80","yes","no","yes","no","no","no","no","no"
"81","no","no","yes","no","no","no","no","no"
"82","no","no","yes","no","no","no","no","no"
"83","no","no","no","no","no","no","no","no"
"84","no","no","yes","no","no","no","no","no"
"85","yes","yes","no","no","no","no","no","no"
"86","yes","no","no","no","no","no","no","no"
"87","no","no","yes","no","no","no","no","yes"
"88","yes","yes","no","no","no","no","no","yes"
"89","no","no","no","no","no","no","no","no"
"90","no","no","no","no","no","no","no","no"
"91","no","yes","no","no","no","no","no","no"
"92","no","no","no","no","no","no","no","no"
"93","no","no","no","no","no","no","no","no"
"94","yes","yes","yes","no","no","no","no","yes"
"95","no","no","no","no","no","no","no","no"
"96","no","no","no","no","no","no","no","no"
"97","no","no","no","no","no","no","no","no"
"98","no","no","no","no","no","no","no","no"
"99","yes","yes","yes","no","no","no","no","no"
"100","no","no","no","no","no","no","no","no"
"101","yes","yes","yes","yes","no","no","no","no"
"102","no","no","yes","no","no","no","no","no"
"103","no","no","no","no","no","no","no","yes"
"104","no","no","no","no","no","no","no","no"
"105","no","no","no","no","no","no","no","no"
"106","no","yes","yes","no","no","no","no","yes"
"107","yes","yes","yes","no","no","no","no","no"
"108","no","yes","yes","no","no","no","no","no"
"109","yes","no","no","no","no","no","no","no"
"110","yes","yes","yes","yes","no","no","no","no"
"111","no","no","yes","no","no","no","no","yes"
"112","no","no","yes","no","no","no","no","no"
"113","no","no","no","no","no","no","no","yes"
"114","yes","yes","yes","no","no","no","no","yes"
