"V1","V2","V3","V4","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma","activeLearning","oracle","labeled"
5.1,3.5,1.4,0.2,"no","no","no","no","no","no","no","yes","yes","no"
4.9,3,1.4,0.2,"no","no","no","no","no","no","no","yes","yes","no"
4.7,3.2,1.3,0.2,"no","no","no","no","no","no","no","yes","no","no"
4.6,3.1,1.5,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5,3.6,1.4,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5.4,3.9,1.7,0.4,"yes","no","yes","no","no","yes","no","yes","no","yes"
4.6,3.4,1.4,0.3,"no","no","no","no","no","no","no","yes","no","no"
5,3.4,1.5,0.2,"no","no","no","no","no","no","no","yes","no","no"
4.4,2.9,1.4,0.2,"yes","no","yes","no","no","no","no","yes","yes","yes"
4.9,3.1,1.5,0.1,"no","no","no","no","no","no","no","yes","no","no"
5.4,3.7,1.5,0.2,"no","no","no","no","no","no","no","yes","yes","no"
4.8,3.4,1.6,0.2,"no","no","no","no","no","no","no","yes","no","no"
4.8,3,1.4,0.1,"no","no","no","no","no","no","no","yes","no","no"
4.3,3,1.1,0.1,"yes","no","yes","no","no","no","no","yes","yes","yes"
5.8,4,1.2,0.2,"yes","yes","yes","no","no","yes","no","yes","yes","yes"
5.7,4.4,1.5,0.4,"yes","yes","yes","yes","yes","yes","yes","yes","no","no"
5.4,3.9,1.3,0.4,"yes","yes","yes","no","no","yes","no","yes","yes","yes"
5.1,3.5,1.4,0.3,"no","no","no","no","no","no","no","yes","yes","no"
5.7,3.8,1.7,0.3,"yes","yes","yes","no","no","yes","no","yes","yes","yes"
5.1,3.8,1.5,0.3,"yes","no","no","no","no","yes","no","yes","yes","yes"
5.4,3.4,1.7,0.2,"yes","no","no","no","no","no","no","yes","no","no"
5.1,3.7,1.5,0.4,"yes","no","no","no","no","no","no","yes","no","no"
4.6,3.6,1,0.2,"yes","no","no","no","no","no","no","yes","yes","no"
5.1,3.3,1.7,0.5,"yes","no","no","no","no","no","no","yes","yes","no"
4.8,3.4,1.9,0.2,"yes","yes","no","no","no","no","no","yes","yes","yes"
5,3,1.6,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5,3.4,1.6,0.4,"yes","no","no","no","no","no","no","yes","yes","no"
5.2,3.5,1.5,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5.2,3.4,1.4,0.2,"no","no","no","no","no","no","no","yes","yes","no"
4.7,3.2,1.6,0.2,"no","no","no","no","no","no","no","yes","no","no"
4.8,3.1,1.6,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5.4,3.4,1.5,0.4,"yes","yes","no","no","no","no","no","yes","yes","yes"
5.2,4.1,1.5,0.1,"yes","yes","yes","no","yes","yes","no","yes","no","yes"
5.5,4.2,1.4,0.2,"yes","yes","yes","no","yes","yes","no","yes","yes","yes"
4.9,3.1,1.5,0.1,"no","no","no","no","no","no","no","yes","no","no"
5,3.2,1.2,0.2,"yes","no","no","no","no","no","no","yes","no","no"
5.5,3.5,1.3,0.2,"yes","yes","no","no","no","no","no","yes","yes","yes"
4.9,3.1,1.5,0.1,"no","no","no","no","no","no","no","yes","yes","no"
4.4,3,1.3,0.2,"no","no","yes","no","no","no","no","yes","yes","no"
5.1,3.4,1.5,0.2,"no","no","no","no","no","no","no","yes","no","no"
5,3.5,1.3,0.3,"no","no","no","no","no","no","no","yes","no","no"
4.5,2.3,1.3,0.3,"yes","yes","yes","no","no","no","no","yes","yes","yes"
4.4,3.2,1.3,0.2,"no","no","yes","no","no","no","no","yes","no","no"
5,3.5,1.6,0.6,"yes","no","no","no","no","no","no","yes","no","no"
5.1,3.8,1.9,0.4,"yes","yes","no","no","no","yes","no","yes","yes","yes"
4.8,3,1.4,0.3,"no","no","no","no","no","no","no","yes","no","no"
5.1,3.8,1.6,0.2,"yes","yes","no","no","no","yes","no","yes","yes","yes"
4.6,3.2,1.4,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5.3,3.7,1.5,0.2,"no","no","no","no","no","no","no","yes","no","no"
5,3.3,1.4,0.2,"no","no","no","no","no","no","no","yes","no","no"
7,3.2,4.7,1.4,"no","yes","yes","no","no","no","no","no","no","yes"
6.4,3.2,4.5,1.5,"no","no","no","no","no","no","no","yes","no","no"
6.9,3.1,4.9,1.5,"no","no","yes","no","no","no","no","no","no","no"
5.5,2.3,4,1.3,"no","no","no","no","no","no","no","yes","no","no"
6.5,2.8,4.6,1.5,"no","no","no","no","no","no","no","yes","yes","no"
5.7,2.8,4.5,1.3,"no","no","no","no","no","no","no","yes","no","no"
6.3,3.3,4.7,1.6,"no","no","no","no","no","no","no","no","no","no"
